GAME_DATE_EST	TEAM_ID_home	PTS_home	FG_PCT_home	FT_PCT_home	FG3_PCT_home	AST_home	REB_home	HOME_TEAM_WINS
22/12/2022	1610612740	126	2	0.926	0.382	25	46	1
22/12/2022	1610612762	120	4	0.952	0.457	16	40	1
21/12/2022	1610612755	113	6	0.909	0.297	27	49	1
21/12/2022	1610612737	108	8	1	0.378	22	47	0
21/12/2022	1610612739	114	10	0.786	0.313	22	37	1
21/12/2022	1610612751	143	12	0.875	0.636	42	32	1
21/12/2022	1610612745	110	3	0.647	0.395	22	49	0
21/12/2022	1610612738	112	5	0.84	0.317	26	62	0
21/12/2022	1610612738	112	7	0.84	0.317	26	62	0
21/12/2022	1610612738	112	9	0.84	0.317	26	62	0
21/12/2022	1610612738	112	1	0.84	0.317	26	62	0
